Sample_ID	Exp_level	Cancer_type	Tissue_type
TCGA-G9-6365-11A-01R-1789-07	1.93047534959945	PRAD	Normal
TCGA-D3-A5GS-06A-11R-A27Q-07	6.26938313054985	SKCM	Cancer
TCGA-F4-6855-01A-11R-1928-07	1.79010834727957	COAD	Cancer
TCGA-85-7950-01A-11R-2187-07	12.5412167445702	LUSC	Cancer
TCGA-C5-A7CO-01A-11R-A352-07	2.27063069479821	CESC	Cancer
TCGA-94-8035-01A-11R-2247-07	1.43318361968913	LUSC	Cancer
TCGA-B5-A0JU-01B-11R-A14D-07	0.415550787389299	UCEC	Cancer
TCGA-Z2-A8RT-06A-11R-A37K-07	6.3696028555592	SKCM	Cancer
TCGA-C8-A1HK-01A-21R-A13Q-07	1.14650323020213	BRCA	Cancer
TCGA-BA-A6D8-01A-31R-A31N-07	1.95955425482788	HNSC	Cancer
TCGA-20-1682-01A-01R-1564-13	2.2769755442398	OV	Cancer
TCGA-G7-6790-01A-11R-1965-07	2.14224406073108	KIRP	Cancer
TCGA-ET-A3DW-01A-11R-A19O-07	1.7234493434438	THCA	Cancer
TCGA-A2-A25F-01A-11R-A169-07	16.2125460926843	BRCA	Cancer
TCGA-GN-A263-01A-11R-A18T-07	0.974415009358329	SKCM	Cancer
TCGA-AB-2940-03A-01T-0736-13	25.2562765485433	LAML	Cancer
TCGA-69-8453-01A-12R-2326-07	10.2374301284453	LUAD	Cancer
TCGA-D1-A3JQ-01A-11R-A22K-07	3.89743805727791	UCEC	Cancer
TCGA-AR-A2LJ-01A-12R-A19W-07	3.23452437864408	BRCA	Cancer
TCGA-BH-A0BZ-01A-31R-A12P-07	7.206724171286	BRCA	Cancer
TCGA-A3-A8OU-01A-11R-A37O-07	10.062102023277	KIRC	Cancer
